Price,Bedrooms,Bathrooms,SqFt,City,Province,Year_Built,Type,Garage,Lot_Area
873630,5,2,1010,Montreal,BC,1960,Condo,1,7919
377869,2,2,3591,Toronto,ON,1958,House,1,7304
128030,4,1,3823,Montreal,ON,2002,House,0,4548
117730,3,2,2848,Montreal,QC,1975,Apartment,1,3374
292476,4,1,3659,Vancouver,QC,2018,Condo,1,1281
294278,2,2,853,Montreal,AB,1963,Apartment,1,6119
770737,4,2,2642,Calgary,QC,1989,House,0,2850
753418,2,1,2359,Calgary,ON,2019,House,1,5152
146203,1,1,2896,Calgary,ON,1986,House,1,8719
320374,5,1,3964,Ottawa,ON,1988,House,0,1426
253313,3,1,3254,Montreal,ON,2002,House,0,4703
165632,4,2,2683,Vancouver,QC,1991,House,1,1746
548625,4,3,2051,Toronto,AB,1980,Apartment,1,2807
349903,4,1,3432,Ottawa,BC,1965,Apartment,1,2861
218857,5,3,1866,Toronto,QC,1984,Condo,0,4591
695488,3,3,1181,Ottawa,AB,1985,House,1,1431
789070,4,1,2515,Montreal,QC,1975,House,1,9892
614272,1,1,936,Montreal,ON,1959,Condo,0,8377
296719,3,1,992,Vancouver,AB,1957,Condo,1,7738
857145,1,2,1973,Calgary,QC,1970,House,1,7517
510963,4,3,3154,Ottawa,QC,2016,House,1,9419
659950,1,1,3715,Vancouver,AB,1961,Apartment,1,7161
562077,4,3,3855,Calgary,BC,1972,Apartment,0,3179
852036,5,3,1683,Ottawa,AB,1950,Condo,0,6520
508160,3,2,3373,Vancouver,AB,2010,Condo,0,6176
754544,5,2,1514,Vancouver,ON,1995,House,0,6116
969444,2,2,2008,Calgary,QC,1954,Condo,1,6218
959953,5,1,849,Toronto,ON,1985,Condo,0,8817
609751,2,1,914,Ottawa,ON,1982,Apartment,1,2714
407651,2,1,2921,Ottawa,ON,1964,Condo,0,4387
781986,1,3,2140,Toronto,BC,1976,House,0,1660
345799,5,3,3070,Vancouver,BC,1957,House,1,2860
838626,3,3,2891,Ottawa,BC,1975,Condo,1,7500
483572,2,1,3661,Calgary,AB,1976,House,1,7891
654543,3,3,1691,Calgary,BC,1971,House,0,9223
630936,1,1,3720,Calgary,ON,1951,Condo,0,1234
843357,4,1,3596,Calgary,BC,2020,House,0,2232
385872,2,1,3258,Vancouver,QC,2011,House,1,3606
707367,4,3,2619,Montreal,QC,1996,Apartment,1,6702
486921,1,3,2758,Toronto,ON,1994,Condo,1,4886
366339,5,1,849,Calgary,ON,1951,House,0,3702
888860,3,3,3890,Calgary,QC,1998,Apartment,1,6128
370172,2,2,3769,Calgary,BC,1997,Apartment,0,1591
234324,2,3,2740,Toronto,ON,1981,Condo,0,8098
980481,5,3,1210,Calgary,QC,1970,Condo,1,3152
874357,4,1,3355,Toronto,AB,1973,Apartment,1,2280
195070,4,2,1311,Toronto,BC,1982,House,1,3460
692162,3,1,3276,Vancouver,AB,1993,Apartment,1,2907
155265,3,2,3969,Toronto,AB,2010,Apartment,0,4642
968940,4,3,1688,Calgary,QC,1970,Apartment,1,3534
601416,1,3,2193,Vancouver,AB,1992,Condo,1,9537
644643,2,2,2745,Toronto,AB,1988,Condo,0,3944
374538,2,3,1903,Vancouver,ON,2022,Condo,0,4647
739813,5,2,1979,Montreal,AB,2012,House,0,7945
561376,5,1,2841,Calgary,ON,1953,Apartment,1,1902
743915,1,2,1121,Calgary,BC,1965,Condo,1,8583
953410,2,2,2878,Vancouver,ON,2007,Apartment,0,2865
436698,5,2,3989,Calgary,ON,2006,Apartment,1,5844
240682,5,2,1081,Vancouver,ON,2005,Condo,1,2135
226742,1,3,2334,Ottawa,AB,1977,House,1,5093
310637,2,2,2199,Calgary,AB,1951,House,1,8423
882482,1,2,2667,Ottawa,BC,1994,Condo,0,6997
123012,2,1,2624,Calgary,ON,1982,Condo,0,7823
451211,2,1,1108,Calgary,ON,1952,House,0,4993
677947,5,3,2960,Montreal,ON,1956,Condo,1,7170
